,CA_3,arima_forecast,sarima_forecast,rfr_forecast,knn_forecast
d_1067,6002.0,,,,
d_1068,6045.0,,,,
d_1069,4319.0,,,,
d_1070,5703.0,,,,
d_1071,6378.0,,,,
d_1072,7043.0,,,,
d_1073,7736.0,,,,
d_1074,6393.0,,,,
d_1075,5723.0,,,,
d_1076,5912.0,,,,
d_1077,5467.0,,,,
d_1078,5932.0,,,,
d_1079,7737.0,,,,
d_1080,7567.0,,,,
d_1081,6099.0,,,,
d_1082,5142.0,,,,
d_1083,5284.0,,,,
d_1084,5527.0,,,,
d_1085,6021.0,,,,
d_1086,7364.0,,,,
d_1087,6975.0,,,,
d_1088,6166.0,,,,
d_1089,5457.0,,,,
d_1090,5589.0,,,,
d_1091,4839.0,,,,
d_1092,5467.0,,,,
d_1093,6764.0,,,,
d_1094,7522.0,,,,
d_1095,5397.0,,,,
d_1096,4855.0,,,,
d_1097,4282.0,,,,
d_1098,4783.0,,,,
d_1099,5403.0,,,,
d_1100,6091.0,,,,
d_1101,7841.0,,,,
d_1102,6985.0,,,,
d_1103,5938.0,,,,
d_1104,5808.0,,,,
d_1105,5633.0,,,,
d_1106,5543.0,,,,
d_1107,8404.0,,,,
d_1108,8406.0,,,,
d_1109,6479.0,,,,
d_1110,5601.0,,,,
d_1111,5612.0,,,,
d_1112,6284.0,,,,
d_1113,5202.0,,,,
d_1114,6444.0,,,,
d_1115,6889.0,,,,
d_1116,6475.0,,,,
d_1117,5370.0,,,,
d_1118,5303.0,,,,
d_1119,5430.0,,,,
d_1120,5529.0,,,,
d_1121,6551.0,,,,
d_1122,7316.0,,,,
d_1123,5332.0,,,,
d_1124,5267.0,,,,
d_1125,4246.0,,,,
d_1126,4760.0,,,,
d_1127,4877.0,,,,
d_1128,7830.0,,,,
d_1129,8145.0,,,,
d_1130,6265.0,,,,
d_1131,5664.0,,,,
d_1132,5127.0,,,,
d_1133,5203.0,,,,
d_1134,5418.0,,,,
d_1135,6704.0,,,,
d_1136,8737.0,,,,
d_1137,7195.0,,,,
d_1138,6025.0,,,,
d_1139,6023.0,,,,
d_1140,5887.0,,,,
d_1141,5841.0,,,,
d_1142,6969.0,,,,
d_1143,7882.0,,,,
d_1144,5867.0,,,,
d_1145,5443.0,,,,
d_1146,4647.0,,,,
d_1147,4943.0,,,,
d_1148,5545.0,,,,
d_1149,6725.0,,,,
d_1150,7944.0,,,,
d_1151,5991.0,,,,
d_1152,5180.0,,,,
d_1153,5037.0,,,,
d_1154,5149.0,,,,
d_1155,5507.0,,,,
d_1156,6349.0,,,,
d_1157,7685.0,,,,
d_1158,5579.0,,,,
d_1159,6126.0,,,,
d_1160,5967.0,,,,
d_1161,6452.0,,,,
d_1162,6317.0,,,,
d_1163,7744.0,,,,
d_1164,8496.0,,,,
d_1165,7378.0,,,,
d_1166,7227.0,,,,
d_1167,6448.0,,,,
d_1168,6457.0,,,,
d_1169,6371.0,,,,
d_1170,7068.0,,,,
d_1171,7896.0,,,,
d_1172,6117.0,,,,
d_1173,6008.0,,,,
d_1174,5707.0,,,,
d_1175,5916.0,,,,
d_1176,6169.0,,,,
d_1177,8368.0,,,,
d_1178,7668.0,,,,
d_1179,5868.0,,,,
d_1180,5522.0,,,,
d_1181,5892.0,,,,
d_1182,6018.0,,,,
d_1183,5396.0,,,,
d_1184,7095.0,,,,
d_1185,8148.0,,,,
d_1186,6004.0,,,,
d_1187,5718.0,,,,
d_1188,5440.0,,,,
d_1189,6727.0,,,,
d_1190,7079.0,,,,
d_1191,7983.0,,,,
d_1192,7997.0,,,,
d_1193,6907.0,,,,
d_1194,6479.0,,,,
d_1195,6017.0,,,,
d_1196,6212.0,,,,
d_1197,6366.0,,,,
d_1198,7141.0,,,,
d_1199,7390.0,,,,
d_1200,6932.0,,,,
d_1201,6263.0,,,,
d_1202,6310.0,,,,
d_1203,5833.0,,,,
d_1204,5827.0,,,,
d_1205,6892.0,,,,
d_1206,7512.0,,,,
d_1207,6044.0,,,,
d_1208,5658.0,,,,
d_1209,5600.0,,,,
d_1210,5295.0,,,,
d_1211,5622.0,,,,
d_1212,6304.0,,,,
d_1213,6533.0,,,,
d_1214,6575.0,,,,
d_1215,5837.0,,,,
d_1216,4872.0,,,,
d_1217,4989.0,,,,
d_1218,5503.0,,,,
d_1219,7060.0,,,,
d_1220,8172.0,,,,
d_1221,6985.0,,,,
d_1222,7037.0,,,,
d_1223,6436.0,,,,
d_1224,6453.0,,,,
d_1225,6271.0,,,,
d_1226,7576.0,,,,
d_1227,7805.0,,,,
d_1228,7664.0,,,,
d_1229,6497.0,,,,
d_1230,6243.0,,,,
d_1231,6023.0,,,,
d_1232,6468.0,,,,
d_1233,7569.0,,,,
d_1234,7188.0,,,,
d_1235,6372.0,,,,
d_1236,6079.0,,,,
d_1237,6193.0,,,,
d_1238,6194.0,,,,
d_1239,6572.0,,,,
d_1240,7497.0,,,,
d_1241,8003.0,,,,
d_1242,6549.0,,,,
d_1243,5999.0,,,,
d_1244,5277.0,,,,
d_1245,5588.0,,,,
d_1246,5848.0,,,,
d_1247,7392.0,,,,
d_1248,7426.0,,,,
d_1249,6475.0,,,,
d_1250,7374.0,,,,
d_1251,7091.0,,,,
d_1252,8369.0,,,,
d_1253,7214.0,,,,
d_1254,7115.0,,,,
d_1255,8307.0,,,,
d_1256,7464.0,,,,
d_1257,6799.0,,,,
d_1258,6524.0,,,,
d_1259,7121.0,,,,
d_1260,6677.0,,,,
d_1261,7791.0,,,,
d_1262,7669.0,,,,
d_1263,6438.0,,,,
d_1264,6128.0,,,,
d_1265,6156.0,,,,
d_1266,5676.0,,,,
d_1267,6599.0,,,,
d_1268,7311.0,,,,
d_1269,7420.0,,,,
d_1270,6270.0,,,,
d_1271,6167.0,,,,
d_1272,5800.0,,,,
d_1273,5718.0,,,,
d_1274,6259.0,,,,
d_1275,7210.0,,,,
d_1276,8336.0,,,,
d_1277,6192.0,,,,
d_1278,5796.0,,,,
d_1279,5651.0,,,,
d_1280,5932.0,,,,
d_1281,7628.0,,,,
d_1282,8064.0,,,,
d_1283,8817.0,,,,
d_1284,6733.0,,,,
d_1285,6702.0,,,,
d_1286,6390.0,,,,
d_1287,6461.0,,,,
d_1288,7102.0,,,,
d_1289,8285.0,,,,
d_1290,8299.0,,,,
d_1291,6630.0,,,,
d_1292,6642.0,,,,
d_1293,6062.0,,,,
d_1294,5788.0,,,,
d_1295,6034.0,,,,
d_1296,7220.0,,,,
d_1297,8778.0,,,,
d_1298,7045.0,,,,
d_1299,6141.0,,,,
d_1300,5966.0,,,,
d_1301,5816.0,,,,
d_1302,6870.0,,,,
d_1303,8240.0,,,,
d_1304,8996.0,,,,
d_1305,6382.0,,,,
d_1306,5740.0,,,,
d_1307,5663.0,,,,
d_1308,5570.0,,,,
d_1309,6480.0,,,,
d_1310,7106.0,,,,
d_1311,6707.0,,,,
d_1312,7851.0,,,,
d_1313,6403.0,,,,
d_1314,6427.0,,,,
d_1315,5999.0,,,,
d_1316,6105.0,,,,
d_1317,7503.0,,,,
d_1318,8696.0,,,,
d_1319,7070.0,,,,
d_1320,5875.0,,,,
d_1321,6181.0,,,,
d_1322,6268.0,,,,
d_1323,7194.0,,,,
d_1324,8137.0,,,,
d_1325,8159.0,,,,
d_1326,6695.0,,,,
d_1327,6190.0,,,,
d_1328,5879.0,,,,
d_1329,5808.0,,,,
d_1330,6142.0,,,,
d_1331,7780.0,,,,
d_1332,8436.0,,,,
d_1333,6455.0,,,,
d_1334,6075.0,,,,
d_1335,5740.0,,,,
d_1336,5744.0,,,,
d_1337,6258.0,,,,
d_1338,7236.0,,,,
d_1339,7966.0,,,,
d_1340,6141.0,,,,
d_1341,5644.0,,,,
d_1342,6330.0,,,,
d_1343,5975.0,,,,
d_1344,6957.0,,,,
d_1345,8565.0,,,,
d_1346,8880.0,,,,
d_1347,7052.0,,,,
d_1348,6142.0,,,,
d_1349,6211.0,,,,
d_1350,5873.0,,,,
d_1351,6277.0,,,,
d_1352,7359.0,,,,
d_1353,7918.0,,,,
d_1354,6091.0,,,,
d_1355,5461.0,,,,
d_1356,5604.0,,,,
d_1357,4838.0,,,,
d_1358,5526.0,,,,
d_1359,7304.0,,,,
d_1360,8226.0,,,,
d_1361,6263.0,,,,
d_1362,5608.0,,,,
d_1363,4950.0,,,,
d_1364,5213.0,,,,
d_1365,5542.0,,,,
d_1366,6579.0,,,,
d_1367,7369.0,,,,
d_1368,5931.0,,,,
d_1369,4874.0,,,,
d_1370,5028.0,,,,
d_1371,5216.0,,,,
d_1372,5057.0,,,,
d_1373,7700.0,,,,
d_1374,8470.0,,,,
d_1375,6920.0,,,,
d_1376,6018.0,,,,
d_1377,5745.0,,,,
d_1378,5691.0,,,,
d_1379,6085.0,,,,
d_1380,7719.0,,,,
d_1381,8098.0,,,,
d_1382,6962.0,,,,
d_1383,6170.0,,,,
d_1384,4735.0,,,,
d_1385,4850.0,,,,
d_1386,5475.0,,,,
d_1387,6710.0,,,,
d_1388,7458.0,,,,
d_1389,5752.0,,,,
d_1390,5293.0,,,,
d_1391,4934.0,,,,
d_1392,4761.0,,,,
d_1393,5701.0,,,,
d_1394,7315.0,,,,
d_1395,7555.0,,,,
d_1396,5891.0,,,,
d_1397,5896.0,,,,
d_1398,6252.0,,,,
d_1399,3673.0,,,,
d_1400,4314.0,,,,
d_1401,5850.0,,,,
d_1402,6393.0,,,,
d_1403,6427.0,,,,
d_1404,5326.0,,,,
d_1405,5292.0,,,,
d_1406,5859.0,,,,
d_1407,5849.0,,,,
d_1408,7337.0,,,,
d_1409,7286.0,,,,
d_1410,5832.0,,,,
d_1411,5643.0,,,,
d_1412,6038.0,,,,
d_1413,3402.0,,,,
d_1414,5265.0,,,,
d_1415,6194.0,,,,
d_1416,6481.0,,,,
d_1417,4970.0,,,,
d_1418,4630.0,,,,
d_1419,4743.0,,,,
d_1420,5232.0,,,,
d_1421,4359.0,,,,
d_1422,5788.0,,,,
d_1423,6331.0,,,,
d_1424,6013.0,,,,
d_1425,5397.0,,,,
d_1426,4021.0,,,,
d_1427,1.0,,,,
d_1428,5402.0,,,,
d_1429,5685.0,,,,
d_1430,6050.0,,,,
d_1431,5170.0,,,,
d_1432,4676.0,,,,
d_1433,4686.0,,,,
d_1434,4412.0,,,,
d_1435,6532.0,,,,
d_1436,6792.0,,,,
d_1437,6762.0,,,,
d_1438,5851.0,,,,
d_1439,5058.0,,,,
d_1440,4991.0,,,,
d_1441,5380.0,,,,
d_1442,5282.0,,,,
d_1443,7354.0,,,,
d_1444,7879.0,,,,
d_1445,5604.0,,,,
d_1446,5103.0,,,,
d_1447,4682.0,,,,
d_1448,4689.0,,,,
d_1449,5360.0,,,,
d_1450,7329.0,,,,
d_1451,6938.0,,,,
d_1452,6538.0,,,,
d_1453,5548.0,,,,
d_1454,5236.0,,,,
d_1455,5073.0,,,,
d_1456,5452.0,,,,
d_1457,7132.0,,,,
d_1458,7915.0,,,,
d_1459,5457.0,,,,
d_1460,4956.0,,,,
d_1461,4897.0,,,,
d_1462,4784.0,,,,
d_1463,5619.0,,,,
d_1464,7419.0,,,,
d_1465,8081.0,,,,
d_1466,6242.0,,,,
d_1467,5987.0,,,,
d_1468,5929.0,,,,
d_1469,5980.0,,,,
d_1470,5154.0,,,,
d_1471,8852.0,,,,
d_1472,8254.0,,,,
d_1473,6834.0,,,,
d_1474,6517.0,,,,
d_1475,5752.0,,,,
d_1476,6493.0,,,,
d_1477,5450.0,,,,
d_1478,6239.0,,,,
d_1479,6836.0,,,,
d_1480,6997.0,,,,
d_1481,5468.0,,,,
d_1482,5097.0,,,,
d_1483,4561.0,,,,
d_1484,5430.0,,,,
d_1485,5965.0,,,,
d_1486,6958.0,,,,
d_1487,5978.0,,,,
d_1488,5248.0,,,,
d_1489,5095.0,,,,
d_1490,5154.0,,,,
d_1491,5325.0,,,,
d_1492,6817.0,,,,
d_1493,7725.0,,,,
d_1494,5997.0,,,,
d_1495,6112.0,,,,
d_1496,5724.0,,,,
d_1497,5881.0,,,,
d_1498,5792.0,,,,
d_1499,7617.0,,,,
d_1500,8904.0,,,,
d_1501,6906.0,,,,
d_1502,5949.0,,,,
d_1503,5692.0,,,,
d_1504,5368.0,,,,
d_1505,5912.0,,,,
d_1506,7455.0,,,,
d_1507,8510.0,,,,
d_1508,6217.0,,,,
d_1509,5819.0,,,,
d_1510,5161.0,,,,
d_1511,5166.0,,,,
d_1512,5564.0,,,,
d_1513,7105.0,,,,
d_1514,8034.0,,,,
d_1515,6196.0,,,,
d_1516,5272.0,,,,
d_1517,5445.0,,,,
d_1518,5300.0,,,,
d_1519,5316.0,,,,
d_1520,6795.0,,,,
d_1521,7706.0,,,,
d_1522,5744.0,,,,
d_1523,5605.0,,,,
d_1524,6013.0,,,,
d_1525,5755.0,,,,
d_1526,6748.0,,,,
d_1527,8258.0,,,,
d_1528,7999.0,,,,
d_1529,6400.0,,,,
d_1530,6252.0,,,,
d_1531,6144.0,,,,
d_1532,5774.0,,,,
d_1533,6121.0,,,,
d_1534,7093.0,,,,
d_1535,7907.0,,,,
d_1536,5027.0,,,,
d_1537,5753.0,,,,
d_1538,5298.0,,,,
d_1539,5535.0,,,,
d_1540,5583.0,,,,
d_1541,6174.0,,,,
d_1542,7788.0,,,,
d_1543,5802.0,,,,
d_1544,5325.0,,,,
d_1545,5383.0,,,,
d_1546,5551.0,,,,
d_1547,5548.0,,,,
d_1548,7251.0,,,,
d_1549,7890.0,,,,
d_1550,5909.0,,,,
d_1551,5420.0,,,,
d_1552,4849.0,,,,
d_1553,5114.0,,,,
d_1554,6637.0,,,,
d_1555,7586.0,,,,
d_1556,7757.0,,,,
d_1557,7345.0,,,,
d_1558,5835.0,,,,
d_1559,5784.0,,,,
d_1560,5428.0,,,,
d_1561,6096.0,,,,
d_1562,7509.0,,,,
d_1563,6636.0,,,,
d_1564,6352.0,,,,
d_1565,5903.0,,,,
d_1566,5728.0,,,,
d_1567,5032.0,,,,
d_1568,5701.0,,,,
d_1569,6948.0,,,,
d_1570,7739.0,,,,
d_1571,5919.0,,,,
d_1572,5168.0,,,,
d_1573,5191.0,,,,
d_1574,5145.0,,,,
d_1575,6192.0,,,,
d_1576,6294.0,,,,
d_1577,6396.0,,,,
d_1578,7264.0,,,,
d_1579,5606.0,,,,
d_1580,5014.0,,,,
d_1581,5159.0,,,,
d_1582,5309.0,,,,
d_1583,6616.0,,,,
d_1584,7261.0,,,,
d_1585,6560.0,,,,
d_1586,7865.0,,,,
d_1587,6044.0,,,,
d_1588,5871.0,,,,
d_1589,6148.0,,,,
d_1590,7967.0,,,,
d_1591,8318.0,,,,
d_1592,7608.0,,,,
d_1593,6886.0,,,,
d_1594,6453.0,,,,
d_1595,5849.0,,,,
d_1596,6098.0,,,,
d_1597,7177.0,,,,
d_1598,8728.0,,,,
d_1599,6819.0,,,,
d_1600,5408.0,,,,
d_1601,5731.0,,,,
d_1602,5732.0,,,,
d_1603,5739.0,,,,
d_1604,7221.0,,,,
d_1605,6739.0,,,,
d_1606,6344.0,,,,
d_1607,5592.0,,,,
d_1608,5239.0,,,,
d_1609,5836.0,,,,
d_1610,6069.0,,,,
d_1611,7103.0,,,,
d_1612,7496.0,,,,
d_1613,6227.0,,,,
d_1614,5978.0,,,,
d_1615,6871.0,,,,
d_1616,6737.0,,,,
d_1617,8878.0,,,,
d_1618,6237.0,,,,
d_1619,7380.0,,,,
d_1620,6350.0,,,,
d_1621,6386.0,,,,
d_1622,6098.0,,,,
d_1623,6200.0,,,,
d_1624,6680.0,,,,
d_1625,7239.0,,,,
d_1626,7846.0,,,,
d_1627,6598.0,,,,
d_1628,6063.0,,,,
d_1629,6228.0,,,,
d_1630,6153.0,,,,
d_1631,6354.0,,,,
d_1632,7397.0,,,,
d_1633,8226.0,,,,
d_1634,6582.0,,,,
d_1635,6045.0,,,,
d_1636,5509.0,,,,
d_1637,5867.0,,,,
d_1638,6087.0,,,,
d_1639,7144.0,,,,
d_1640,7209.0,,,,
d_1641,6316.0,,,,
d_1642,5830.0,,,,
d_1643,5435.0,,,,
d_1644,5649.0,,,,
d_1645,6163.0,,,,
d_1646,7814.0,,,,
d_1647,8646.0,,,,
d_1648,7210.0,,,,
d_1649,6602.0,,,,
d_1650,6426.0,,,,
d_1651,6140.0,,,,
d_1652,6567.0,,,,
d_1653,8126.0,,,,
d_1654,8833.0,,,,
d_1655,7290.0,,,,
d_1656,6422.0,,,,
d_1657,5992.0,,,,
d_1658,6209.0,,,,
d_1659,6242.0,,,,
d_1660,7788.0,,,,
d_1661,8979.0,,,,
d_1662,7250.0,,,,
d_1663,6455.0,,,,
d_1664,6381.0,,,,
d_1665,5693.0,,,,
d_1666,5837.0,,,,
d_1667,7798.0,,,,
d_1668,7836.0,,,,
d_1669,6204.0,,,,
d_1670,5484.0,,,,
d_1671,5327.0,,,,
d_1672,5405.0,,,,
d_1673,5921.0,,,,
d_1674,7568.0,,,,
d_1675,8234.0,,,,
d_1676,6050.0,,,,
d_1677,6423.0,,,,
d_1678,6059.0,,,,
d_1679,6116.0,,,,
d_1680,6452.0,,,,
d_1681,7378.0,,,,
d_1682,7026.0,,,,
d_1683,7827.0,,,,
d_1684,6686.0,,,,
d_1685,6748.0,,,,
d_1686,6538.0,,,,
d_1687,6416.0,,,,
d_1688,7593.0,,,,
d_1689,8814.0,,,,
d_1690,6056.0,,,,
d_1691,5983.0,,,,
d_1692,5358.0,,,,
d_1693,5478.0,,,,
d_1694,6336.0,,,,
d_1695,8179.0,,,,
d_1696,8300.0,,,,
d_1697,6339.0,,,,
d_1698,6133.0,,,,
d_1699,6027.0,,,,
d_1700,5404.0,,,,
d_1701,6264.0,,,,
d_1702,7427.0,,,,
d_1703,7837.0,,,,
d_1704,6071.0,,,,
d_1705,5261.0,,,,
d_1706,5338.0,,,,
d_1707,5867.0,,,,
d_1708,6515.0,,,,
d_1709,8592.0,,,,
d_1710,8674.0,,,,
d_1711,7246.0,,,,
d_1712,6284.0,,,,
d_1713,6160.0,,,,
d_1714,5916.0,,,,
d_1715,6812.0,,,,
d_1716,7767.0,,,,
d_1717,6283.0,,,,
d_1718,7279.0,,,,
d_1719,5827.0,,,,
d_1720,5745.0,,,,
d_1721,5404.0,,,,
d_1722,5769.0,,,,
d_1723,7446.0,,,,
d_1724,8037.0,,,,
d_1725,6022.0,,,,
d_1726,5514.0,,,,
d_1727,5240.0,,,,
d_1728,5480.0,,,,
d_1729,5520.0,,,,
d_1730,6559.0,,,,
d_1731,7897.0,,,,
d_1732,5914.0,,,,
d_1733,5475.0,,,,
d_1734,5379.0,,,,
d_1735,5449.0,,,,
d_1736,5654.0,,,,
d_1737,6500.0,,,,
d_1738,8010.0,,,,
d_1739,5774.0,,,,
d_1740,6020.0,,,,
d_1741,5365.0,,,,
d_1742,5312.0,,,,
d_1743,5702.0,,,,
d_1744,6934.0,,,,
d_1745,8217.0,,,,
d_1746,5788.0,,,,
d_1747,5498.0,,,,
d_1748,5187.0,,,,
d_1749,4877.0,,,,
d_1750,5008.0,,,,
d_1751,6785.0,,,,
d_1752,7294.0,,,,
d_1753,5594.0,,,,
d_1754,4979.0,,,,
d_1755,4867.0,,,,
d_1756,4516.0,,,,
d_1757,5144.0,,,,
d_1758,6309.0,,,,
d_1759,7376.0,,,,
d_1760,5596.0,,,,
d_1761,5216.0,,,,
d_1762,5851.0,,,,
d_1763,3674.0,,,,
d_1764,3972.0,,,,
d_1765,5075.0,,,,
d_1766,5991.0,,,,
d_1767,5055.0,,,,
d_1768,5284.0,,,,
d_1769,5136.0,,,,
d_1770,5543.0,,,,
d_1771,5749.0,,,,
d_1772,6837.0,,,,
d_1773,7334.0,,,,
d_1774,5461.0,,,,
d_1775,5117.0,,,,
d_1776,4877.0,,,,
d_1777,5367.0,,,,
d_1778,5291.0,,,,
d_1779,6523.0,,,,
d_1780,6890.0,,,,
d_1781,5568.0,,,,
d_1782,5039.0,,,,
d_1783,5240.0,,,,
d_1784,5516.0,,,,
d_1785,5074.0,,,,
d_1786,6408.0,,,,
d_1787,6470.0,,,,
d_1788,5158.0,,,,
d_1789,5431.0,,,,
d_1790,5353.0,,,,
d_1791,4167.0,,,,
d_1792,4.0,,,,
d_1793,5918.0,,,,
d_1794,5585.0,,,,
d_1795,5316.0,,,,
d_1796,5086.0,,,,
d_1797,5209.0,,,,
d_1798,5472.0,,,,
d_1799,4556.0,,,,
d_1800,6654.0,,,,
d_1801,6781.0,,,,
d_1802,5944.0,,,,
d_1803,5532.0,,,,
d_1804,5062.0,,,,
d_1805,5644.0,,,,
d_1806,5785.0,,,,
d_1807,7940.0,,,,
d_1808,8035.0,,,,
d_1809,6440.0,,,,
d_1810,5123.0,,,,
d_1811,4803.0,,,,
d_1812,4748.0,,,,
d_1813,5333.0,,,,
d_1814,7240.0,,,,
d_1815,7352.0,,,,
d_1816,6242.0,,,,
d_1817,5165.0,,,,
d_1818,5319.0,,,,
d_1819,5118.0,,,,
d_1820,5224.0,,,,
d_1821,7880.0,,,,
d_1822,8164.0,,,,
d_1823,6371.0,,,,
d_1824,5244.0,,,,
d_1825,5309.0,,,,
d_1826,5261.0,,,,
d_1827,5637.0,,,,
d_1828,7217.0,,,,
d_1829,8094.0,,,,
d_1830,6446.0,,,,
d_1831,5722.0,,,,
d_1832,5740.0,,,,
d_1833,5951.0,,,,
d_1834,5986.0,,,,
d_1835,7347.0,,,,
d_1836,6696.0,,,,
d_1837,5930.0,,,,
d_1838,5882.0,,,,
d_1839,6421.0,,,,
d_1840,6547.0,,,,
d_1841,5928.0,,,,
d_1842,7921.0,,,,
d_1843,6852.0,,,,
d_1844,7464.0,,,,
d_1845,5987.0,,,,
d_1846,5465.0,,,,
d_1847,5424.0,,,,
d_1848,6158.0,,,,
d_1849,7668.0,,,,
d_1850,7984.0,,,,
d_1851,6293.0,,,,
d_1852,5616.0,,,,
d_1853,5477.0,,,,
d_1854,5535.0,,,,
d_1855,5833.0,,,,
d_1856,7375.0,,,,
d_1857,7883.0,,,,
d_1858,6291.0,,,,
d_1859,6462.0,,,,
d_1860,5700.0,,,,
d_1861,5992.0,,,,
d_1862,5550.0,,,,
d_1863,7567.0,,,,
d_1864,8773.0,,,,
d_1865,6558.0,,,,
d_1866,6257.0,,,,
d_1867,5912.0,,,,
d_1868,5820.0,,,,
d_1869,5789.0,,,,
d_1870,7602.0,,,,
d_1871,7874.0,,,,
d_1872,6458.0,,,,
d_1873,5661.0,,,,
d_1874,5512.0,,,,
d_1875,5277.0,,,,
d_1876,5644.0,,,,
d_1877,7508.0,,,,
d_1878,7775.0,,,,
d_1879,6239.0,,,,
d_1880,5703.0,,,,
d_1881,5651.0,,,,
d_1882,5409.0,,,,
d_1883,6373.0,,,,
d_1884,7978.0,,,,
d_1885,7650.0,,,,
d_1886,5487.0,,,,
d_1887,5493.0,,,,
d_1888,5202.0,,,,
d_1889,5474.0,,,,
d_1890,6571.0,,,,
d_1891,7206.0,,,,
d_1892,8399.0,,,,
d_1893,6622.0,,,,
d_1894,6221.0,,,,
d_1895,5685.0,,,,
d_1896,5635.0,,,,
d_1897,6191.0,,,,
d_1898,7782.0,,,,
d_1899,8602.0,,,,
d_1900,6580.0,,,,
d_1901,5641.0,,,,
d_1902,5377.0,,,,
d_1903,5493.0,,,,
d_1904,5337.0,,,,
d_1905,6936.0,,,,
d_1906,8271.0,,,,
d_1907,6068.0,,,,
d_1908,5683.0,,,,
d_1909,5235.0,,,,
d_1910,5018.0,,,,
d_1911,5623.0,,,,
d_1912,7419.0,,,,
d_1913,7721.0,,,,
d_1914,,6399.0,5798.0,6376.0,6272.0
d_1915,,5622.0,5399.0,5320.0,5323.0
d_1916,,5625.0,5185.0,5359.0,5538.0
d_1917,,5264.0,5152.0,5336.0,5305.0
d_1918,,5695.0,5737.0,6141.0,6332.0
d_1919,,7221.0,7255.0,7623.0,7889.0
d_1920,,7631.0,7944.0,7126.0,7119.0
d_1921,,6370.0,6287.0,6548.0,6391.0
d_1922,,5645.0,5944.0,6259.0,6094.0
d_1923,,5603.0,5617.0,5869.0,5808.0
d_1924,,5279.0,5793.0,5795.0,5738.0
d_1925,,5678.0,6323.0,6189.0,6228.0
d_1926,,7225.0,7757.0,7366.0,7266.0
d_1927,,7604.0,8242.0,8226.0,8100.0
d_1928,,6385.0,6595.0,6639.0,6641.0
d_1929,,5636.0,6047.0,6125.0,6021.0
d_1930,,5612.0,5774.0,5589.0,5615.0
d_1931,,5265.0,5599.0,5413.0,5605.0
d_1932,,5688.0,5859.0,6175.0,6021.0
d_1933,,7203.0,7464.0,7137.0,7135.0
d_1934,,7602.0,8011.0,7594.0,7780.0
d_1935,,6376.0,6210.0,6584.0,6277.0
d_1936,,5649.0,5635.0,5609.0,5589.0
d_1937,,5599.0,5271.0,5494.0,5425.0
d_1938,,5271.0,5228.0,5320.0,5466.0
d_1939,,5680.0,5666.0,5345.0,5630.0
d_1940,,7199.0,7135.0,6586.0,6788.0
d_1941,,7583.0,7779.0,7923.0,8066.0
